"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Cerrina monferrato","1",6059,1420,-128,"3","1","LISTA CIVICA: INSIEME PER IL FUTURO DI CERRINA","1",63,0.734333333333333,0.1295,0.1195,0.642,0.338333333333333,0.3415,0.065,0.321,0.0326666666666667,0.912,0.623
"Argentera","2",4006,76.5,-9,"3","0","LISTA CIVICA: OGGI E DOMANI","1",47,NA,0.066625,0.275875,0.341,0.890875,0.204125,0.26825,0.181,0.710125,0.62975,0.595875
"Cravagliana","2",2048,264.5,-25,"4","0",NA,"1",36,0.616,0.2465,NA,0.376,0.5865,0.366833333333333,0.140833333333333,0.357833333333333,NA,1.78516666666667,0.515875
"Lignana","1",2070,559.5,-39,"4","1","LISTA CIVICA: PER IL BUON GOVERNO","1",64,0.813,0.157,0.036875,0.629625,0.320666666666667,0.36525,0,0.3045,0.0302222222222222,NA,0.768666666666667
"Aurano","1",103005,103.5,1,"3","1","LISTA CIVICA: ALPES","1",43,0.440625,0.204625,0.259875,0.54325,0.183625,0.102428571428571,0.020875,0.079,0.114625,NA,0.4585
"Caprezzo","1",103018,167,-2,"4","1","LISTA CIVICA: VIVERE CAPREZZO","1",58,0.553666666666667,0.193333333333333,0.159333333333333,0.527,0.26,0.156,NA,0.128333333333333,0.131666666666667,1.72366666666667,0.524333333333333
"Craveggia","1",103024,746,26,"2","1",NA,"1",67,NA,0.127714285714286,0.305,0.560571428571429,NA,0.302857142857143,0.140571428571429,0.269571428571429,0.273875,0.846,NA
"Intragna","1",103037,106.5,-1,"3","1","LISTA CIVICA: RINASCITA DELLA MONTAGNA","1",56,0.4695,0.1256,0.3208,0.6864,0.3135,NA,0,0.1974,0.1155,NA,NA
"Foppolo","1",16103,194.5,-15,"3","1",NA,"1",49,0.809363636363636,0.0672222222222222,NA,0.263111111111111,0.846636363636364,NA,0.241888888888889,0.136444444444444,NA,1.21566666666667,0.650818181818182
"Azzano mella","2",17008,3161,398,"4","0","LISTA CIVICA: AZZANO RICRESCE","1",36,0.643727272727273,0.191111111111111,0.147444444444444,0.505222222222222,0.357636363636364,0.181777777777778,0.0708888888888889,0.183444444444444,0.184181818181818,0.515222222222222,0.725363636363636
"Campione ditalia","2",13040,2041,-198,"4","1",NA,"1",67,0.277181818181818,0.0376666666666667,0.629888888888889,NA,NA,0.345333333333333,NA,0.291888888888889,0.190818181818182,0.470111111111111,0.783272727272727
"Paderno ponchielli","1",19065,1434,-74,"3","1","LISTA CIVICA: PER IL BENE COMUNE","1",43,0.5604,0.262444444444444,0.160777777777778,0.574333333333333,0.3348,0.315555555555556,0.0572222222222222,0.286888888888889,0.0735,0.457888888888889,0.7426
"Castellucchio","1",20016,5204,-54,"4","1","LISTA CIVICA: CON LA GENTE","1",66,0.624909090909091,0.154444444444444,0.204777777777778,0.695666666666667,NA,0.251777777777778,0.00177777777777778,0.223,0.0746363636363636,0.486666666666667,0.811545454545455
"Truccazzano","1",15224,5888,-132,"3","1","LISTA CIVICA: L'ALTRA LISTA","1",55,0.646666666666667,0.0904285714285714,0.229428571428571,0.726,0.195111111111111,0.201428571428571,0,0.196285714285714,NA,0.702571428571429,NA
"Monticelli pavese","1",18099,707.5,-13,"4","1","LISTA CIVICA: AMMINISTRARE INSIEME","1",70,0.697,0.275111111111111,0.110666666666667,NA,0.382636363636364,0.322666666666667,0.0323333333333333,0.317666666666667,0.0594545454545455,NA,0.643
"Carenno","1",97014,1468,-52,"3","1",NA,"1",42,0.636,0.161888888888889,0.158888888888889,0.623222222222222,0.4289,0.278444444444444,0.0911111111111111,0.241222222222222,0.1901,0.488666666666667,0.7655
"Monte marenzo","1",97052,1928,-92,"4","0",NA,"1",49,0.5781,0.173111111111111,0.179666666666667,0.562222222222222,0.5071,0.239,0.192555555555556,0.225222222222222,0.284,0.546777777777778,0.7341
"Bertonico","1",98002,1141,-66,"3","0","LISTA CIVICA: PROGETTO PER BERTONICO","1",41,0.659444444444444,NA,0.172125,NA,0.288666666666667,0.2285,0.018625,0.2095,0.0873333333333333,0.814875,0.588777777777778
"Megliadino san vitale","1",28052,1911.5,-139,NA,NA,NA,NA,NA,0.365363636363636,0.304888888888889,0.299111111111111,NA,0.242454545454545,0.175555555555556,NA,0.168555555555556,0.0957272727272727,NA,0.651909090909091
"Crespino","1",29019,1873,-184,"4","0","LISTA CIVICA: INSIEME COSTRUIAMO IL FUTURO","1",41,0.216375,0.303,0.436375,0.623,0.206125,0.17625,0.003625,0.15825,0.04775,0.658875,0.69525
"Peschiera del garda","1",23059,10085.5,1447,"4","0","LISTA CIVICA: ORIETTA GAIULLI SINDACO","1",49,0.401181818181818,0.117666666666667,0.412444444444444,0.664555555555556,0.210545454545455,0.190111111111111,NA,0.173444444444444,0.0403636363636364,0.375888888888889,0.765454545454545
"Velo veronese","1",23090,772,-8,"4","1","LISTA CIVICA: IN VELO","1",70,0.549111111111111,0.309625,0.09425,0.412,0.301,0.265375,0.04525,0.24575,NA,1.316875,NA
"Tresigallo","1",38024,4473.5,-167,"3","1","LISTA CIVICA: NOI SIAMO PER CAMBIARE","1",54,0.608,0.203888888888889,0.168111111111111,0.601,0.400545454545455,0.328888888888889,0.0497777777777778,0.288222222222222,0.124727272727273,0.622111111111111,NA
"Zerba","1",33047,82,-18,"3","0","LISTA CIVICA: VIVIAMO LA VALLE","1",45,0.624,0.268,0.137444444444444,0.505555555555556,0.377,0.325222222222222,NA,0.298888888888889,0.0680909090909091,0.867444444444444,NA
"Firenze","1",48017,363601.5,12567,"4","1","ITALIA DEI VALORI | LISTA CIVICA: NARDELLA | LISTA CIVICA: POPOLARI PER FIRENZE | LISTA CIVICA: FIRENZE AL CENTRO | LISTA CIVICA: SOSTIENI FIRENZE | COMUNISTI ITALIANI | PARTITO DEMOCRATICO","1",41,0.446272727272727,0.224222222222222,0.279,0.553,0.387181818181818,0.353444444444444,0.0495555555555556,0.331555555555556,0.0718181818181818,0.885555555555556,NA
"Castellazzara","1",53005,1507,-186,"2","1","LISTA CIVICA: SOLIDARIETA' E PARTECIPAZIONE","1",61,0.687909090909091,0.226444444444444,0.213666666666667,0.461888888888889,0.372818181818182,0.294888888888889,0.0555555555555556,0.269777777777778,NA,1.18,0.638454545454545
"Stazzema","1",46030,3132.5,-323,"4","1","LISTA CIVICA: IMPEGNO PER STAZZEMA 2019","1",49,0.510818181818182,0.235888888888889,0.130666666666667,0.422444444444444,0.446272727272727,0.194444444444444,0.166888888888889,0.180333333333333,0.267636363636364,1.05066666666667,NA
"Terni","2",55032,109832,1444,"4","1","SINISTRA ECOLOGIA LIBERTA' | LISTA CIVICA: ALLEANZA DEMOCRATICI E LIBERALI | LISTA CIVICA: TERNI DEI VALORI | LISTA CIVICA: TERNI OLTRE | PARTITO DEMOCRATICO | LISTA CIVICA: PROGETTO TERNI | LISTA CIVICA: CITTAPERTA - TERNI DINAMICA","1",65,0.5574,0.261555555555556,0.125555555555556,0.345777777777778,1.0729,0.355222222222222,0.388111111111111,0.325111111111111,NA,0.775777777777778,NA
"Offagna","2",42033,1963.5,151,"3","1","LISTA CIVICA: RINASCITA PER OFFAGNA","1",63,0.488545454545455,0.349,0.147888888888889,0.284222222222222,0.960636363636364,0.295444444444444,0.328,0.305666666666667,0.654,0.313444444444444,NA
"Fratte rosa","2",41016,978.5,-75,"4","1","LISTA CIVICA: LA FRATTEROSA CHE VORREI","1",41,NA,0.289777777777778,0.134111111111111,0.333666666666667,NA,0.377555555555556,0.398222222222222,0.338777777777778,0.757545454545455,0.613666666666667,0.698727272727273
"Montecalvo in foglia","1",41030,2735.5,65,"3","0","LISTA CIVICA: IMPEGNO COMUNE","1",57,0.680181818181818,0.275666666666667,0.0558888888888889,0.424,0.752545454545455,0.293666666666667,0.316111111111111,0.267444444444444,0.485818181818182,0.677444444444444,0.683727272727273
"Arpino","1",60010,7181,-350,"4","1",NA,"0",56,0.644090909090909,NA,0.0686666666666667,0.413555555555556,NA,0.379333333333333,NA,0.347,0.227909090909091,1.38744444444444,0.603636363636364
"Cassino","2",60019,34988.5,2721,"4","1","FORZA ITALIA | LISTA CIVICA: INSIEME CASSINO | FRATELLI D'ITALIA - ALLEANZA NAZIONALE | LISTA CIVICA: REAZIONE | NOI CON SALVINI | LISTA CIVICA: IO E TE","0",45,0.615272727272727,0.268333333333333,0.106,0.498,0.505636363636364,0.323666666666667,0.154333333333333,0.282888888888889,0.235818181818182,0.875333333333333,NA
"Fiuggi","1",60035,10032,828,NA,NA,NA,NA,NA,0.512090909090909,0.114777777777778,0.252333333333333,0.558777777777778,0.550090909090909,0.245555555555556,0.153333333333333,0.223777777777778,0.336454545454545,1.797,0.472909090909091
"Pignataro interamna","2",60054,2511.5,-101,NA,NA,NA,NA,NA,0.321,0.237,0.226555555555556,0.342111111111111,0.378181818181818,0.251555555555556,0.177888888888889,0.240555555555556,0.138272727272727,1.09622222222222,0.585636363636364
"Cittareale","1",57017,456,-26,"SPECIALIZZAZIONE POST 4 / DOTTORATO DI RICERCA","1","LISTA CIVICA: PER CITTAREALE","0",39,0.121833333333333,0.648666666666667,0.2085,0.2275,0.357333333333333,0.255333333333333,0.067,0.244333333333333,0.113,2.53733333333333,NA
